evidence_block,grain,item,item_2,item_3,rank_label,rank_value,release_year,start_year,end_year,games,game_platforms,platforms,publishers,genres,regions,reported_sales_volume,sales_share,avg_sales_per_game_platform,secondary_value,secondary_label,notes
selected_platform_phase_profile,platform_phase,GBA,middle_phase,,platform_sales_rank,7.0,,,,,325,1,,,,134.58,0.4301,0.4141,2.0,years_in_phase,"Phase rows show whether platform sales are concentrated early, middle, or late in its release span."
selected_platform_phase_profile,platform_phase,PSP,middle_phase,,platform_sales_rank,8.0,,,,,588,1,,,,125.96,0.4319,0.2142,4.0,years_in_phase,"Phase rows show whether platform sales are concentrated early, middle, or late in its release span."
selected_platform_phase_profile,platform_phase,PS4,late_phase,,platform_sales_rank,9.0,,,,,108,1,,,,39.33,0.1414,0.3642,2.0,years_in_phase,"Phase rows show whether platform sales are concentrated early, middle, or late in its release span."
selected_platform_phase_profile,platform_phase,PC,late_phase,,platform_sales_rank,10.0,,,,,761,1,,,,162.09,0.6366,0.213,11.0,years_in_phase,"Phase rows show whether platform sales are concentrated early, middle, or late in its release span."
selected_platform_phase_profile,platform_phase,PS2,late_phase,,platform_sales_rank,1.0,,,,,332,1,,,,86.39,0.07,0.2602,4.0,years_in_phase,"Phase rows show whether platform sales are concentrated early, middle, or late in its release span."
selected_platform_phase_profile,platform_phase,X360,middle_phase,,platform_sales_rank,2.0,,,,,667,1,,,,539.06,0.5545,0.8082,4.0,years_in_phase,"Phase rows show whether platform sales are concentrated early, middle, or late in its release span."
selected_platform_phase_profile,platform_phase,PS3,late_phase,,platform_sales_rank,3.0,,,,,341,1,,,,189.15,0.1992,0.5547,4.0,years_in_phase,"Phase rows show whether platform sales are concentrated early, middle, or late in its release span."
selected_platform_phase_profile,platform_phase,Wii,middle_phase,,platform_sales_rank,4.0,,,,,430,1,,,,216.88,0.2385,0.5044,3.0,years_in_phase,"Phase rows show whether platform sales are concentrated early, middle, or late in its release span."
selected_platform_phase_profile,platform_phase,DS,late_phase,,platform_sales_rank,5.0,,,,,920,1,,,,251.57,0.3076,0.2734,7.0,years_in_phase,"Phase rows show whether platform sales are concentrated early, middle, or late in its release span."
selected_platform_phase_profile,platform_phase,PS,early_phase,,platform_sales_rank,6.0,,,,,468,1,,,,272.86,0.375,0.583,4.0,years_in_phase,"Phase rows show whether platform sales are concentrated early, middle, or late in its release span."
selected_platform_phase_profile,platform_phase,GBA,early_phase,,platform_sales_rank,7.0,,,,,306,1,,,,135.76,0.4339,0.4437,3.0,years_in_phase,"Phase rows show whether platform sales are concentrated early, middle, or late in its release span."
selected_platform_phase_profile,platform_phase,PSP,early_phase,,platform_sales_rank,8.0,,,,,436,1,,,,154.44,0.5295,0.3542,4.0,years_in_phase,"Phase rows show whether platform sales are concentrated early, middle, or late in its release span."
selected_platform_phase_profile,platform_phase,PS4,middle_phase,,platform_sales_rank,9.0,,,,,137,1,,,,115.24,0.4143,0.8412,1.0,years_in_phase,"Phase rows show whether platform sales are concentrated early, middle, or late in its release span."
selected_platform_phase_profile,platform_phase,PC,middle_phase,,platform_sales_rank,10.0,,,,,167,1,,,,72.38,0.2843,0.4334,10.0,years_in_phase,"Phase rows show whether platform sales are concentrated early, middle, or late in its release span."
selected_platform_phase_profile,platform_phase,PS2,middle_phase,,platform_sales_rank,1.0,,,,,992,1,,,,551.88,0.4474,0.5563,4.0,years_in_phase,"Phase rows show whether platform sales are concentrated early, middle, or late in its release span."
selected_platform_phase_profile,platform_phase,X360,early_phase,,platform_sales_rank,2.0,,,,,380,1,,,,293.28,0.3017,0.7718,4.0,years_in_phase,"Phase rows show whether platform sales are concentrated early, middle, or late in its release span."
selected_platform_phase_profile,platform_phase,PS3,middle_phase,,platform_sales_rank,3.0,,,,,544,1,,,,413.15,0.4352,0.7595,3.0,years_in_phase,"Phase rows show whether platform sales are concentrated early, middle, or late in its release span."
selected_platform_phase_profile,platform_phase,Wii,early_phase,,platform_sales_rank,4.0,,,,,838,1,,,,676.95,0.7446,0.8078,4.0,years_in_phase,"Phase rows show whether platform sales are concentrated early, middle, or late in its release span."
selected_platform_phase_profile,platform_phase,DS,middle_phase,,platform_sales_rank,5.0,,,,,1212,1,,,,566.35,0.6924,0.4673,5.0,years_in_phase,"Phase rows show whether platform sales are concentrated early, middle, or late in its release span."
selected_platform_phase_profile,platform_phase,PS,middle_phase,,platform_sales_rank,6.0,,,,,607,1,,,,410.37,0.564,0.6761,3.0,years_in_phase,"Phase rows show whether platform sales are concentrated early, middle, or late in its release span."
selected_platform_phase_profile,platform_phase,GBA,late_phase,,platform_sales_rank,7.0,,,,,180,1,,,,42.54,0.136,0.2363,3.0,years_in_phase,"Phase rows show whether platform sales are concentrated early, middle, or late in its release span."
selected_platform_phase_profile,platform_phase,PSP,late_phase,,platform_sales_rank,8.0,,,,,173,1,,,,11.26,0.0386,0.0651,4.0,years_in_phase,"Phase rows show whether platform sales are concentrated early, middle, or late in its release span."
selected_platform_phase_profile,platform_phase,PS4,early_phase,,platform_sales_rank,9.0,,,,,91,1,,,,123.59,0.4443,1.3581,2.0,years_in_phase,"Phase rows show whether platform sales are concentrated early, middle, or late in its release span."
selected_platform_phase_profile,platform_phase,PC,early_phase,,platform_sales_rank,10.0,,,,,15,1,,,,20.15,0.0791,1.3433,5.0,years_in_phase,"Phase rows show whether platform sales are concentrated early, middle, or late in its release span."
release_era_region_mix,release_era_region,1990s,North America,,era_region_sales_rank,1.0,,,,,1769,16,,,1,576.11,0.4505,0.3257,,not_applicable,Era-by-region rows support trend claims without reducing platform lifecycle to a single global year.
release_era_region_mix,release_era_region,1990s,Japan,,era_region_sales_rank,2.0,,,,,1769,16,,,1,372.33,0.2912,0.2105,,not_applicable,Era-by-region rows support trend claims without reducing platform lifecycle to a single global year.
release_era_region_mix,release_era_region,1990s,Europe,,era_region_sales_rank,3.0,,,,,1769,16,,,1,282.87,0.2212,0.1599,,not_applicable,Era-by-region rows support trend claims without reducing platform lifecycle to a single global year.
release_era_region_mix,release_era_region,1990s,Other,,era_region_sales_rank,4.0,,,,,1769,16,,,1,47.42,0.0371,0.0268,,not_applicable,Era-by-region rows support trend claims without reducing platform lifecycle to a single global year.
release_era_region_mix,release_era_region,2010s_plus,North America,,era_region_sales_rank,1.0,,,,,5144,12,,,1,1113.77,0.4417,0.2165,,not_applicable,Era-by-region rows support trend claims without reducing platform lifecycle to a single global year.
release_era_region_mix,release_era_region,2010s_plus,Europe,,era_region_sales_rank,2.0,,,,,5144,12,,,1,839.26,0.3328,0.1632,,not_applicable,Era-by-region rows support trend claims without reducing platform lifecycle to a single global year.
release_era_region_mix,release_era_region,2010s_plus,Japan,,era_region_sales_rank,3.0,,,,,5144,12,,,1,298.81,0.1185,0.0581,,not_applicable,Era-by-region rows support trend claims without reducing platform lifecycle to a single global year.
release_era_region_mix,release_era_region,2010s_plus,Other,,era_region_sales_rank,4.0,,,,,5144,12,,,1,269.88,0.107,0.0525,,not_applicable,Era-by-region rows support trend claims without reducing platform lifecycle to a single global year.
release_era_region_mix,release_era_region,pre_1990,North America,,era_region_sales_rank,1.0,,,,,205,5,,,1,235.66,0.626,1.1496,,not_applicable,Era-by-region rows support trend claims without reducing platform lifecycle to a single global year.
release_era_region_mix,release_era_region,pre_1990,Japan,,era_region_sales_rank,2.0,,,,,205,5,,,1,102.49,0.2722,0.5,,not_applicable,Era-by-region rows support trend claims without reducing platform lifecycle to a single global year.
release_era_region_mix,release_era_region,pre_1990,Europe,,era_region_sales_rank,3.0,,,,,205,5,,,1,31.2,0.0829,0.1522,,not_applicable,Era-by-region rows support trend claims without reducing platform lifecycle to a single global year.
release_era_region_mix,release_era_region,pre_1990,Other,,era_region_sales_rank,4.0,,,,,205,5,,,1,7.13,0.0189,0.0348,,not_applicable,Era-by-region rows support trend claims without reducing platform lifecycle to a single global year.
release_era_region_mix,release_era_region,2000s,North America,,era_region_sales_rank,1.0,,,,,9208,15,,,1,2409.53,0.5191,0.2617,,not_applicable,Era-by-region rows support trend claims without reducing platform lifecycle to a single global year.
release_era_region_mix,release_era_region,2000s,Europe,,era_region_sales_rank,2.0,,,,,9208,15,,,1,1257.04,0.2708,0.1365,,not_applicable,Era-by-region rows support trend claims without reducing platform lifecycle to a single global year.
release_era_region_mix,release_era_region,2000s,Japan,,era_region_sales_rank,3.0,,,,,9208,15,,,1,510.7,0.11,0.0555,,not_applicable,Era-by-region rows support trend claims without reducing platform lifecycle to a single global year.
release_era_region_mix,release_era_region,2000s,Other,,era_region_sales_rank,4.0,,,,,9208,15,,,1,464.9,0.1001,0.0505,,not_applicable,Era-by-region rows support trend claims without reducing platform lifecycle to a single global year.
