evidence_block,grain,item,item_2,rank_label,rank_value,orders,customers,order_lines,products,quantity,revenue,gross_margin_proxy,gross_margin_rate,avg_days_to_ship,avg_days_before_required,extra_metric_1,extra_value_1,notes
country_fulfillment_risk,country,Spain,,country_revenue_rank,2.0,36,5,342,342,12429.0,1099389.09,440004.54,0.4002,3.8235,,non_shipped_status_orders,4.0,Country-level risk checks whether abnormal status or delay is market-concentrated.
country_fulfillment_risk,country,Australia,,country_revenue_rank,4.0,19,5,185,185,6246.0,562582.59,222207.18,0.395,4.0556,,non_shipped_status_orders,2.0,Country-level risk checks whether abnormal status or delay is market-concentrated.
country_fulfillment_risk,country,New Zealand,,country_revenue_rank,5.0,15,4,149,149,5396.0,476847.01,189506.58,0.3974,2.6429,,non_shipped_status_orders,2.0,Country-level risk checks whether abnormal status or delay is market-concentrated.
country_fulfillment_risk,country,Denmark,,country_revenue_rank,10.0,7,2,63,63,2197.0,218994.92,85629.3,0.391,2.4286,,non_shipped_status_orders,2.0,Country-level risk checks whether abnormal status or delay is market-concentrated.
country_fulfillment_risk,country,Sweden,,country_revenue_rank,14.0,7,2,57,57,2006.0,187638.35,71915.92,0.3833,4.2,,non_shipped_status_orders,2.0,Country-level risk checks whether abnormal status or delay is market-concentrated.
country_fulfillment_risk,country,France,,country_revenue_rank,3.0,37,12,314,314,11090.0,1007374.02,413016.12,0.41,3.5556,,non_shipped_status_orders,1.0,Country-level risk checks whether abnormal status or delay is market-concentrated.
country_fulfillment_risk,country,UK,,country_revenue_rank,6.0,13,5,144,144,5013.0,436947.44,172964.26,0.3958,3.0769,,non_shipped_status_orders,1.0,Country-level risk checks whether abnormal status or delay is market-concentrated.
country_fulfillment_risk,country,Austria,,country_revenue_rank,13.0,7,2,55,55,1974.0,188540.06,73082.79,0.3876,2.8571,,non_shipped_status_orders,1.0,Country-level risk checks whether abnormal status or delay is market-concentrated.
country_fulfillment_risk,country,Belgium,,country_revenue_rank,19.0,7,2,33,33,1074.0,100068.76,37555.95,0.3753,2.0,,non_shipped_status_orders,1.0,Country-level risk checks whether abnormal status or delay is market-concentrated.
country_fulfillment_risk,country,Italy,,country_revenue_rank,7.0,10,4,121,121,4045.0,360616.81,144459.86,0.4006,4.2,,non_shipped_status_orders,0.0,Country-level risk checks whether abnormal status or delay is market-concentrated.
country_fulfillment_risk,country,Finland,,country_revenue_rank,8.0,9,3,92,92,3192.0,295149.35,117239.33,0.3972,3.2222,,non_shipped_status_orders,0.0,Country-level risk checks whether abnormal status or delay is market-concentrated.
country_fulfillment_risk,country,Singapore,,country_revenue_rank,9.0,9,2,79,79,2760.0,263997.78,101782.55,0.3855,9.1111,,non_shipped_status_orders,0.0,Country-level risk checks whether abnormal status or delay is market-concentrated.
country_fulfillment_risk,country,Canada,,country_revenue_rank,11.0,7,3,70,70,2293.0,205911.86,78858.78,0.383,3.5714,,non_shipped_status_orders,0.0,Country-level risk checks whether abnormal status or delay is market-concentrated.
country_fulfillment_risk,country,Germany,,country_revenue_rank,12.0,7,3,62,62,2148.0,196470.99,77505.7,0.3945,3.2857,,non_shipped_status_orders,0.0,Country-level risk checks whether abnormal status or delay is market-concentrated.
country_fulfillment_risk,country,Japan,,country_revenue_rank,15.0,6,2,52,52,1842.0,167909.95,67848.06,0.4041,6.1667,,non_shipped_status_orders,0.0,Country-level risk checks whether abnormal status or delay is market-concentrated.
country_fulfillment_risk,country,Norway  ,,country_revenue_rank,16.0,5,2,53,53,1760.0,166621.51,66257.82,0.3977,3.6,,non_shipped_status_orders,0.0,Country-level risk checks whether abnormal status or delay is market-concentrated.
country_fulfillment_risk,country,Switzerland,,country_revenue_rank,17.0,2,1,31,31,1078.0,108777.92,43393.75,0.3989,2.0,,non_shipped_status_orders,0.0,Country-level risk checks whether abnormal status or delay is market-concentrated.
country_fulfillment_risk,country,Norway,,country_revenue_rank,18.0,4,1,32,32,1082.0,104224.79,41391.52,0.3971,3.75,,non_shipped_status_orders,0.0,Country-level risk checks whether abnormal status or delay is market-concentrated.
country_fulfillment_risk,country,Philippines,,country_revenue_rank,20.0,3,1,26,26,961.0,87468.3,35987.68,0.4114,5.3333,,non_shipped_status_orders,0.0,Country-level risk checks whether abnormal status or delay is market-concentrated.
country_fulfillment_risk,country,Ireland,,country_revenue_rank,21.0,2,1,16,16,490.0,49898.27,19588.29,0.3926,4.5,,non_shipped_status_orders,0.0,Country-level risk checks whether abnormal status or delay is market-concentrated.
country_fulfillment_risk,country,Hong Kong,,country_revenue_rank,22.0,2,1,16,16,596.0,45480.79,16868.68,0.3709,3.0,,non_shipped_status_orders,0.0,Country-level risk checks whether abnormal status or delay is market-concentrated.
customer_fulfillment_risk,customer,Euro+ Shopping Channel,Spain,abnormal_customer_rank,1.0,26,,259,259,9327.0,820689.54,326519.66,0.3979,3.625,,non_shipped_status_orders,4.0,Customer-level view identifies whether fulfillment risk is concentrated in particular accounts.
customer_fulfillment_risk,customer,Mini Gifts Distributors Ltd.,USA,abnormal_customer_rank,3.0,17,,180,180,6366.0,591827.34,236769.39,0.4001,2.875,,non_shipped_status_orders,1.0,Customer-level view identifies whether fulfillment risk is concentrated in particular accounts.
customer_fulfillment_risk,customer,"Australian Collectors, Co.",Australia,abnormal_customer_rank,20.0,5,,55,55,1926.0,180585.07,70311.07,0.3894,3.0,,non_shipped_status_orders,0.0,Customer-level view identifies whether fulfillment risk is concentrated in particular accounts.
customer_fulfillment_risk,customer,Muscle Machine Inc,USA,abnormal_customer_rank,21.0,4,,48,48,1775.0,177913.95,72370.09,0.4068,2.25,,non_shipped_status_orders,0.0,Customer-level view identifies whether fulfillment risk is concentrated in particular accounts.
customer_fulfillment_risk,customer,La Rochelle Gifts,France,abnormal_customer_rank,4.0,4,,53,53,1832.0,158573.12,60875.3,0.3839,3.3333,,non_shipped_status_orders,1.0,Customer-level view identifies whether fulfillment risk is concentrated in particular accounts.
customer_fulfillment_risk,customer,"Dragon Souveniers, Ltd.",Singapore,abnormal_customer_rank,22.0,5,,43,43,1524.0,156251.03,60477.38,0.3871,14.6,,non_shipped_status_orders,0.0,Customer-level view identifies whether fulfillment risk is concentrated in particular accounts.
customer_fulfillment_risk,customer,"Down Under Souveniers, Inc",New Zealand,abnormal_customer_rank,23.0,5,,46,46,1691.0,154622.08,60013.99,0.3881,2.2,,non_shipped_status_orders,0.0,Customer-level view identifies whether fulfillment risk is concentrated in particular accounts.
customer_fulfillment_risk,customer,Land of Toys Inc.,USA,abnormal_customer_rank,5.0,4,,49,49,1631.0,149085.15,58669.1,0.3935,2.0,,non_shipped_status_orders,1.0,Customer-level view identifies whether fulfillment risk is concentrated in particular accounts.
customer_fulfillment_risk,customer,"AV Stores, Co.",UK,abnormal_customer_rank,24.0,3,,51,51,1778.0,148410.09,60095.86,0.4049,2.0,,non_shipped_status_orders,0.0,Customer-level view identifies whether fulfillment risk is concentrated in particular accounts.
customer_fulfillment_risk,customer,The Sharp Gifts Warehouse,USA,abnormal_customer_rank,6.0,4,,40,40,1656.0,143536.27,55931.37,0.3897,2.6667,,non_shipped_status_orders,1.0,Customer-level view identifies whether fulfillment risk is concentrated in particular accounts.
customer_fulfillment_risk,customer,Salzburg Collectables,Austria,abnormal_customer_rank,25.0,4,,40,40,1442.0,137480.07,54724.68,0.3981,3.25,,non_shipped_status_orders,0.0,Customer-level view identifies whether fulfillment risk is concentrated in particular accounts.
customer_fulfillment_risk,customer,Kelly's Gift Shop,New Zealand,abnormal_customer_rank,7.0,4,,48,48,1647.0,137460.79,51771.5,0.3766,3.0,,non_shipped_status_orders,1.0,Customer-level view identifies whether fulfillment risk is concentrated in particular accounts.
customer_fulfillment_risk,customer,"Anna's Decorations, Ltd",Australia,abnormal_customer_rank,26.0,4,,46,46,1469.0,137034.22,54551.66,0.3981,5.0,,non_shipped_status_orders,0.0,Customer-level view identifies whether fulfillment risk is concentrated in particular accounts.
customer_fulfillment_risk,customer,Souveniers And Things Co.,Australia,abnormal_customer_rank,8.0,4,,46,46,1601.0,133907.12,52331.45,0.3908,4.3333,,non_shipped_status_orders,1.0,Customer-level view identifies whether fulfillment risk is concentrated in particular accounts.
customer_fulfillment_risk,customer,Corporate Gift Ideas Co.,USA,abnormal_customer_rank,27.0,4,,41,41,1447.0,132340.78,55674.28,0.4207,3.0,,non_shipped_status_orders,0.0,Customer-level view identifies whether fulfillment risk is concentrated in particular accounts.
customer_fulfillment_risk,customer,"Saveley & Henriot, Co.",France,abnormal_customer_rank,28.0,3,,41,41,1428.0,130305.35,53211.19,0.4084,3.0,,non_shipped_status_orders,0.0,Customer-level view identifies whether fulfillment risk is concentrated in particular accounts.
customer_fulfillment_risk,customer,Danish Wholesale Imports,Denmark,abnormal_customer_rank,2.0,5,,36,36,1315.0,129085.12,50973.68,0.3949,2.6,,non_shipped_status_orders,2.0,Customer-level view identifies whether fulfillment risk is concentrated in particular accounts.
customer_fulfillment_risk,customer,Rovelli Gifts,Italy,abnormal_customer_rank,29.0,3,,48,48,1650.0,127529.69,52309.63,0.4102,4.6667,,non_shipped_status_orders,0.0,Customer-level view identifies whether fulfillment risk is concentrated in particular accounts.
customer_fulfillment_risk,customer,Reims Collectables,France,abnormal_customer_rank,30.0,5,,41,41,1433.0,126983.19,52698.66,0.415,3.2,,non_shipped_status_orders,0.0,Customer-level view identifies whether fulfillment risk is concentrated in particular accounts.
customer_fulfillment_risk,customer,L'ordine Souveniers,Italy,abnormal_customer_rank,31.0,3,,39,39,1280.0,125505.57,48516.67,0.3866,4.6667,,non_shipped_status_orders,0.0,Customer-level view identifies whether fulfillment risk is concentrated in particular accounts.
customer_fulfillment_risk,customer,Scandinavian Gift Ideas,Sweden,abnormal_customer_rank,9.0,3,,38,38,1359.0,120943.53,46777.54,0.3868,5.5,,non_shipped_status_orders,1.0,Customer-level view identifies whether fulfillment risk is concentrated in particular accounts.
customer_fulfillment_risk,customer,"UK Collectables, Ltd.",UK,abnormal_customer_rank,10.0,3,,29,29,1046.0,106610.72,43523.64,0.4082,1.6667,,non_shipped_status_orders,1.0,Customer-level view identifies whether fulfillment risk is concentrated in particular accounts.
customer_fulfillment_risk,customer,Diecast Classics Inc.,USA,abnormal_customer_rank,11.0,4,,31,31,1111.0,104358.69,40429.55,0.3874,3.6667,,non_shipped_status_orders,1.0,Customer-level view identifies whether fulfillment risk is concentrated in particular accounts.
customer_fulfillment_risk,customer,GiftsForHim.com,New Zealand,abnormal_customer_rank,12.0,3,,26,26,1003.0,94431.76,39321.91,0.4164,2.5,,non_shipped_status_orders,1.0,Customer-level view identifies whether fulfillment risk is concentrated in particular accounts.
customer_fulfillment_risk,customer,Toys4GrownUps.com,USA,abnormal_customer_rank,13.0,3,,30,30,1060.0,93803.3,40397.88,0.4307,5.3333,,non_shipped_status_orders,1.0,Customer-level view identifies whether fulfillment risk is concentrated in particular accounts.
customer_fulfillment_risk,customer,Gifts4AllAges.com,USA,abnormal_customer_rank,14.0,3,,26,26,1036.0,84340.32,32549.53,0.3859,2.5,,non_shipped_status_orders,1.0,Customer-level view identifies whether fulfillment risk is concentrated in particular accounts.
customer_fulfillment_risk,customer,Tekni Collectables Inc.,USA,abnormal_customer_rank,15.0,3,,21,21,988.0,81806.55,32240.57,0.3941,5.0,,non_shipped_status_orders,1.0,Customer-level view identifies whether fulfillment risk is concentrated in particular accounts.
customer_fulfillment_risk,customer,Petit Auto,Belgium,abnormal_customer_rank,16.0,3,,25,25,796.0,70851.58,25861.96,0.365,1.0,,non_shipped_status_orders,1.0,Customer-level view identifies whether fulfillment risk is concentrated in particular accounts.
customer_fulfillment_risk,customer,"Volvo Model Replicas, Co",Sweden,abnormal_customer_rank,17.0,4,,19,19,647.0,66694.82,25138.38,0.3769,3.3333,,non_shipped_status_orders,1.0,Customer-level view identifies whether fulfillment risk is concentrated in particular accounts.
customer_fulfillment_risk,customer,"Australian Collectables, Ltd",Australia,abnormal_customer_rank,18.0,3,,23,23,705.0,55866.02,22433.82,0.4016,4.6667,,non_shipped_status_orders,1.0,Customer-level view identifies whether fulfillment risk is concentrated in particular accounts.
customer_fulfillment_risk,customer,Mini Auto Werke,Austria,abnormal_customer_rank,19.0,3,,15,15,532.0,51059.99,18358.11,0.3595,2.3333,,non_shipped_status_orders,1.0,Customer-level view identifies whether fulfillment risk is concentrated in particular accounts.
productline_fulfillment_mix,product_line_status_timeliness,Trains,Shipped / shipped_on_or_before_required,line_status_rank,1.0,43,34,73,,2519.0,166492.09,58826.86,0.3533,3.3151,,late_order_lines,0.0,Product-line mix shows whether delayed or abnormal fulfillment is attached to particular merchandise groups.
productline_fulfillment_mix,product_line_status_timeliness,Trains,Cancelled / not_shipped_or_missing_date,line_status_rank,2.0,2,2,4,,119.0,9388.07,3082.58,0.3284,,,late_order_lines,0.0,Product-line mix shows whether delayed or abnormal fulfillment is attached to particular merchandise groups.
productline_fulfillment_mix,product_line_status_timeliness,Trains,Shipped / shipped_after_required,line_status_rank,3.0,1,1,3,,132.0,8538.68,2560.38,0.2999,65.0,,late_order_lines,3.0,Product-line mix shows whether delayed or abnormal fulfillment is attached to particular merchandise groups.
productline_fulfillment_mix,product_line_status_timeliness,Trains,On Hold / not_shipped_or_missing_date,line_status_rank,4.0,1,1,1,,48.0,4114.08,871.2,0.2118,,,late_order_lines,0.0,Product-line mix shows whether delayed or abnormal fulfillment is attached to particular merchandise groups.
productline_fulfillment_mix,product_line_status_timeliness,Classic Cars,Shipped / shipped_on_or_before_required,line_status_rank,1.0,195,93,943,,33064.0,3588711.21,1422321.66,0.3963,3.4199,,late_order_lines,0.0,Product-line mix shows whether delayed or abnormal fulfillment is attached to particular merchandise groups.
productline_fulfillment_mix,product_line_status_timeliness,Classic Cars,In Process / not_shipped_or_missing_date,line_status_rank,2.0,3,3,14,,564.0,53644.18,20851.62,0.3887,,,late_order_lines,0.0,Product-line mix shows whether delayed or abnormal fulfillment is attached to particular merchandise groups.
productline_fulfillment_mix,product_line_status_timeliness,Classic Cars,On Hold / not_shipped_or_missing_date,line_status_rank,3.0,3,3,12,,542.0,50442.87,19158.47,0.3798,,,late_order_lines,0.0,Product-line mix shows whether delayed or abnormal fulfillment is attached to particular merchandise groups.
productline_fulfillment_mix,product_line_status_timeliness,Classic Cars,Cancelled / shipped_on_or_before_required,line_status_rank,4.0,1,1,14,,429.0,45443.54,17651.26,0.3884,1.0,,late_order_lines,0.0,Product-line mix shows whether delayed or abnormal fulfillment is attached to particular merchandise groups.
productline_fulfillment_mix,product_line_status_timeliness,Classic Cars,Shipped / shipped_after_required,line_status_rank,5.0,1,1,9,,285.0,34889.42,13317.96,0.3817,65.0,,late_order_lines,9.0,Product-line mix shows whether delayed or abnormal fulfillment is attached to particular merchandise groups.
productline_fulfillment_mix,product_line_status_timeliness,Trucks and Buses,Shipped / shipped_on_or_before_required,line_status_rank,1.0,70,47,282,,9980.0,925039.59,362104.2,0.3914,3.2021,,late_order_lines,0.0,Product-line mix shows whether delayed or abnormal fulfillment is attached to particular merchandise groups.
productline_fulfillment_mix,product_line_status_timeliness,Trucks and Buses,In Process / not_shipped_or_missing_date,line_status_rank,2.0,2,2,11,,394.0,38859.39,15304.7,0.3938,,,late_order_lines,0.0,Product-line mix shows whether delayed or abnormal fulfillment is attached to particular merchandise groups.
productline_fulfillment_mix,product_line_status_timeliness,Trucks and Buses,Shipped / shipped_after_required,line_status_rank,3.0,1,1,6,,253.0,23964.75,10587.23,0.4418,65.0,,late_order_lines,6.0,Product-line mix shows whether delayed or abnormal fulfillment is attached to particular merchandise groups.
productline_fulfillment_mix,product_line_status_timeliness,Trucks and Buses,Resolved / shipped_on_or_before_required,line_status_rank,4.0,1,1,5,,203.0,19562.53,6890.14,0.3522,2.0,,late_order_lines,0.0,Product-line mix shows whether delayed or abnormal fulfillment is attached to particular merchandise groups.
productline_fulfillment_mix,product_line_status_timeliness,Trucks and Buses,On Hold / not_shipped_or_missing_date,line_status_rank,5.0,1,1,4,,171.0,16687.31,5666.95,0.3396,,,late_order_lines,0.0,Product-line mix shows whether delayed or abnormal fulfillment is attached to particular merchandise groups.
productline_fulfillment_mix,product_line_status_timeliness,Vintage Cars,Shipped / shipped_on_or_before_required,line_status_rank,1.0,170,88,604,,21015.0,1643172.49,673293.73,0.4098,3.5166,,late_order_lines,0.0,Product-line mix shows whether delayed or abnormal fulfillment is attached to particular merchandise groups.
productline_fulfillment_mix,product_line_status_timeliness,Vintage Cars,In Process / not_shipped_or_missing_date,line_status_rank,2.0,5,5,16,,532.0,42767.95,18103.42,0.4233,,,late_order_lines,0.0,Product-line mix shows whether delayed or abnormal fulfillment is attached to particular merchandise groups.
productline_fulfillment_mix,product_line_status_timeliness,Vintage Cars,Cancelled / not_shipped_or_missing_date,line_status_rank,3.0,4,4,14,,492.0,39245.98,16315.34,0.4157,,,late_order_lines,0.0,Product-line mix shows whether delayed or abnormal fulfillment is attached to particular merchandise groups.
productline_fulfillment_mix,product_line_status_timeliness,Vintage Cars,On Hold / not_shipped_or_missing_date,line_status_rank,4.0,3,3,9,,450.0,37923.29,15068.83,0.3974,,,late_order_lines,0.0,Product-line mix shows whether delayed or abnormal fulfillment is attached to particular merchandise groups.
productline_fulfillment_mix,product_line_status_timeliness,Vintage Cars,Resolved / shipped_on_or_before_required,line_status_rank,5.0,3,3,10,,317.0,25941.59,11458.18,0.4417,4.0,,late_order_lines,0.0,Product-line mix shows whether delayed or abnormal fulfillment is attached to particular merchandise groups.
productline_fulfillment_mix,product_line_status_timeliness,Ships,Shipped / shipped_on_or_before_required,line_status_rank,1.0,60,47,205,,7131.0,556629.01,219226.46,0.3938,3.4537,,late_order_lines,0.0,Product-line mix shows whether delayed or abnormal fulfillment is attached to particular merchandise groups.
productline_fulfillment_mix,product_line_status_timeliness,Ships,Cancelled / not_shipped_or_missing_date,line_status_rank,2.0,4,4,19,,661.0,52512.3,21160.37,0.403,,,late_order_lines,0.0,Product-line mix shows whether delayed or abnormal fulfillment is attached to particular merchandise groups.
productline_fulfillment_mix,product_line_status_timeliness,Ships,Resolved / shipped_on_or_before_required,line_status_rank,3.0,2,2,12,,404.0,29424.81,11480.53,0.3902,4.0,,late_order_lines,0.0,Product-line mix shows whether delayed or abnormal fulfillment is attached to particular merchandise groups.
productline_fulfillment_mix,product_line_status_timeliness,Ships,On Hold / not_shipped_or_missing_date,line_status_rank,4.0,1,1,8,,304.0,23085.98,8350.43,0.3617,,,late_order_lines,0.0,Product-line mix shows whether delayed or abnormal fulfillment is attached to particular merchandise groups.
productline_fulfillment_mix,product_line_status_timeliness,Ships,Disputed / shipped_on_or_before_required,line_status_rank,5.0,1,1,1,,32.0,2346.24,1071.68,0.4568,3.0,,late_order_lines,0.0,Product-line mix shows whether delayed or abnormal fulfillment is attached to particular merchandise groups.
productline_fulfillment_mix,product_line_status_timeliness,Motorcycles,Shipped / shipped_on_or_before_required,line_status_rank,1.0,76,55,351,,12425.0,1084927.13,454863.97,0.4193,3.8775,,late_order_lines,0.0,Product-line mix shows whether delayed or abnormal fulfillment is attached to particular merchandise groups.
productline_fulfillment_mix,product_line_status_timeliness,Motorcycles,Disputed / shipped_on_or_before_required,line_status_rank,2.0,1,1,6,,259.0,28574.9,12757.72,0.4465,6.0,,late_order_lines,0.0,Product-line mix shows whether delayed or abnormal fulfillment is attached to particular merchandise groups.
productline_fulfillment_mix,product_line_status_timeliness,Motorcycles,On Hold / not_shipped_or_missing_date,line_status_rank,3.0,1,1,1,,49.0,4013.59,734.51,0.183,,,late_order_lines,0.0,Product-line mix shows whether delayed or abnormal fulfillment is attached to particular merchandise groups.
productline_fulfillment_mix,product_line_status_timeliness,Motorcycles,Cancelled / shipped_on_or_before_required,line_status_rank,4.0,1,1,1,,45.0,3910.5,899.1,0.2299,2.0,,late_order_lines,0.0,Product-line mix shows whether delayed or abnormal fulfillment is attached to particular merchandise groups.
productline_fulfillment_mix,product_line_status_timeliness,Planes,Shipped / shipped_on_or_before_required,line_status_rank,1.0,59,48,295,,10337.0,832730.27,320425.42,0.3848,3.8881,,late_order_lines,0.0,Product-line mix shows whether delayed or abnormal fulfillment is attached to particular merchandise groups.
productline_fulfillment_mix,product_line_status_timeliness,Planes,Cancelled / not_shipped_or_missing_date,line_status_rank,2.0,2,2,12,,415.0,35469.13,14087.94,0.3972,,,late_order_lines,0.0,Product-line mix shows whether delayed or abnormal fulfillment is attached to particular merchandise groups.
productline_fulfillment_mix,product_line_status_timeliness,Planes,Resolved / shipped_on_or_before_required,line_status_rank,3.0,2,2,12,,442.0,33985.86,12814.97,0.3771,4.6667,,late_order_lines,0.0,Product-line mix shows whether delayed or abnormal fulfillment is attached to particular merchandise groups.
productline_fulfillment_mix,product_line_status_timeliness,Planes,On Hold / not_shipped_or_missing_date,line_status_rank,4.0,1,1,9,,430.0,33308.49,11656.47,0.35,,,late_order_lines,0.0,Product-line mix shows whether delayed or abnormal fulfillment is attached to particular merchandise groups.
productline_fulfillment_mix,product_line_status_timeliness,Planes,Cancelled / shipped_on_or_before_required,line_status_rank,5.0,1,1,6,,185.0,16049.02,5976.73,0.3724,2.0,,late_order_lines,0.0,Product-line mix shows whether delayed or abnormal fulfillment is attached to particular merchandise groups.
